appid,derived_st,conf_file
Splunk_TA_aws,aws:inspector:log,props.conf
Splunk_TA_aws,aws:kinesis,inputs.conf
Splunk_TA_aws,aws:kinesis:log,props.conf
Splunk_TA_aws,aws:logs:log,props.conf
Splunk_TA_aws,aws:proxy-conf:log,props.conf
Splunk_TA_aws,aws:regex-dimensions:log,props.conf
Splunk_TA_aws,aws:restendpoints:log,props.conf
Splunk_TA_aws,aws:resthandler:log,props.conf
Splunk_TA_aws,aws:s3,inputs.conf
DA-ESS-ContentUpdate,aws:s3:accesslogs,savedsearches.conf
Splunk_TA_aws,aws:s3:log,props.conf
Splunk_TA_aws,aws:s3util:log,props.conf
Splunk_TA_aws,aws:sns:alert:log,props.conf
Splunk_TA_aws,aws:sqs,inputs.conf
splunk_app_aws,aws:sqs,macros.conf
Splunk_TA_aws,aws:sqs:log,props.conf
Splunk_TA_aws,aws:sqsbaseds3:log,props.conf
Splunk_TA_aws,aws:ta-util:log,props.conf
Splunk_TA_aws,aws:util:log,props.conf
TA-Azure-inventory,azure:inventory:disk,inputs.conf
TA-Azure-inventory,azure:inventory:vm,inputs.conf
TA-Azure-inventory,azure:topology:auto,inputs.conf
TA-Azure-inventory,azure:topology:manual,inputs.conf
TA-balabit_scb,BalaBit:ShellControlBox,inputs.conf
balabit_scb,balabit:shellcontrolbox,macros.conf
TA-balabit_scb,BalaBit:ShellControlBox:SNMP,inputs.conf
Splunk_TA_nix,bandwidth,inputs.conf
homemonitor,bandwidth_test,inputs.conf
BarracudaWebFilter,barracuda,transforms.conf
TA-barracuda-NGX,barracuda_ngx_raw,eventtypes.conf
endeca,baseline_update,savedsearches.conf
Splunk_TA_nix,bash_history,inputs.conf
bitcoin,bcblock,inputs.conf
SplunkforBlueCoat,bcoat_cacheflow,eventtypes.conf
security_getting_started,bcoat_proxy,inputs.conf
SplunkforBlueCoat,bcoat_proxysg,transforms.conf
TA-nmon,bestperformances at the cost of more storage requirements,props.conf
App-BeyondTrust,beyondtrust:syslog,macros.conf
extreme_networks_basic,bgp,transforms.conf
extreme_networks_basic,bgp_neighbor,transforms.conf
extreme_networks_basic,bgp_peer,transforms.conf
extreme_networks_basic,bgp_routes,transforms.conf
bitcoin,bitcoin_stats,inputs.conf
veeam_backup_monitor,BKPPXYST,inputs.conf
veeam_backup_monitor,BKPRPST,inputs.conf
veeam_backup_monitor,BKPSVRST,inputs.conf
security_getting_started,bluecoat_proxy,inputs.conf
BlueCoatWAF_TA,bluecoat:proxysg:waf,inputs.conf
BlueCoatWAF,bluecoat:proxysg:waf,eventtypes.conf
extreme_networks_basic,bootprelay,transforms.conf
Splunk_TA_box,box:addon:frmk:conf:log,props.conf
Splunk_TA_box,box:addon:frmk:log,props.conf
Splunk_TA_box,box:addon:frmk:rest:log,props.conf
Splunk_TA_box,box:addon:frmk:statestore:log,props.conf
Splunk_TA_box,box:addon:log,props.conf
Splunk_TA_box,box:addon:setup:log,props.conf
Splunk_TA_box,box:events,eventtypes.conf
Splunk_TA_box,box:folder,eventtypes.conf
Splunk_TA_box,box:users,eventtypes.conf
BlackRidgeTACGateway,BR,inputs.conf
securityonion_addon,bro_capture_loss,inputs.conf
securityonion,bro_capture_loss,inputs.conf
securityonion_addon,bro_communication,inputs.conf
securityonion,bro_communication,inputs.conf
securityonion_addon,bro_conn,inputs.conf
securityonion,bro_conn,inputs.conf
security_getting_started,bro_conn,inputs.conf
securityonion_addon,bro_dns,inputs.conf
securityonion,bro_dns,inputs.conf
securityonion_addon,bro_dpd,inputs.conf
securityonion,bro_dpd,inputs.conf
securityonion_addon,bro_ftp,inputs.conf
securityonion,bro_ftp,inputs.conf
security_getting_started,bro_ftp,inputs.conf
securityonion_addon,bro_http,inputs.conf
securityonion,bro_http,inputs.conf
security_getting_started,bro_http,inputs.conf
securityonion_addon,bro_irc,inputs.conf
securityonion,bro_irc,inputs.conf
securityonion_addon,bro_known_certs,inputs.conf
securityonion,bro_known_certs,inputs.conf
securityonion_addon,bro_known_hosts,inputs.conf
securityonion,bro_known_hosts,inputs.conf
securityonion_addon,bro_known_services,inputs.conf
securityonion,bro_known_services,inputs.conf
securityonion_addon,bro_notice,inputs.conf
securityonion,bro_notice,inputs.conf
securityonion_addon,bro_smtp,inputs.conf
securityonion,bro_smtp,inputs.conf
security_getting_started,bro_smtp,inputs.conf
securityonion_addon,bro_smtp_entities,inputs.conf
securityonion,bro_smtp_entities,inputs.conf
securityonion_addon,bro_software,inputs.conf
securityonion,bro_software,inputs.conf
securityonion_addon,bro_ssh,inputs.conf
securityonion,bro_ssh,inputs.conf
security_getting_started,bro_ssh,inputs.conf
securityonion_addon,bro_ssl,inputs.conf
securityonion,bro_ssl,inputs.conf
securityonion_addon,bro_stats,inputs.conf
securityonion,bro_stats,inputs.conf
securityonion_addon,bro_syslog,inputs.conf
securityonion,bro_syslog,inputs.conf
securityonion_addon,bro_weird,inputs.conf
securityonion,bro_weird,inputs.conf
BTHomeHub,bt:homehub:events,inputs.conf
BTHomeHub,bt:homehub:speedtest,inputs.conf
BluVector_Reports,bvcontent,transforms.conf
BluVector_Reports,bvevents,transforms.conf
BluVector_Reports,bvhealth,transforms.conf
BluVector_Reports,bvperf,transforms.conf
BluVector_Reports,bvstatus,transforms.conf
TA-canary,canary_api,inputs.conf
TA-canary,canary_daily_poll,inputs.conf
TA-canary,canarytools_incidents,eventtypes.conf
canvas_ta,canvas:authentication,inputs.conf
DA-ESS-CbDefense,carbonblack:defense:action,eventtypes.conf
DA-ESS-CbDefense,carbonblack:defense:json,macros.conf
TA-Cb_Defense,carbonblack:defense:json,inputs.conf
cbfeed,cbfeed_data,inputs.conf
TA-cef,cef,props.conf
Util_ArcSightCEF_datainputs,cef_data_stream,props.conf
TA-centrify-identity-services-platform,centrify_cisp_syslog,transforms.conf
TA-centrify,centrify_css_syslog,transforms.conf
TA-centrify,centrify_css_winlog,transforms.conf
Splunk_SA_CloudFoundry,cf:valuemetric,savedsearches.conf
RSASecurID,change_sourcetype_rsa_admin,props.conf
RSASecurID,change_sourcetype_rsa_runtime,props.conf
RSASecurID,change_sourcetype_rsa_system,props.conf
Splunk_TA_checkpoint-opseclea,checkpoint,eventtypes.conf
TA-checkpoint_response,checkpoint:ar:response,eventtypes.conf
security_getting_started,cisco_asa,inputs.conf
sanitycheck,cisco_ips_syslog`,macros.conf
security_getting_started,cisco_wsa,inputs.conf
TA-cisco_acs,cisco:acs,eventtypes.conf
TA-cisco-amp4e,cisco:amp:event,eventtypes.conf
TA_cisco-ACI,cisco:apic:authentication,inputs.conf
TA_cisco-ACI,cisco:apic:class,inputs.conf
TA_cisco-ACI,cisco:apic:health,inputs.conf
TA_cisco-ACI,cisco:apic:stats,inputs.conf
TA_cisco-candid,cisco:candid:events,inputs.conf
Splunk_TA_cisco-esa,cisco:esa:amp,props.conf
Splunk_TA_cisco-esa,cisco:esa:authentication,props.conf
Splunk_TA_cisco-esa,cisco:esa:http,props.conf
Splunk_TA_cisco-esa,cisco:esa:textmail,props.conf
TA-eStreamer,cisco:estreamer:clean,inputs.conf
TA-eStreamer,cisco:estreamer:data,inputs.conf
eStreamer-Dashboard,cisco:estreamer:data,macros.conf
TA-eStreamer,cisco:estreamer:log,inputs.conf
eStreamer-Dashboard,cisco:estreamer:log,macros.conf
TA-eStreamer,cisco:estreamer:status,inputs.conf
eStreamer-Dashboard,cisco:estreamer:status,macros.conf
TA-cisco_ios,cisco:ios,transforms.conf
TA-cisco_ios,cisco:ios:traceback,transforms.conf
TA-cisco-stealthwatch,cisco:stealthwatch:alert,eventtypes.conf
TA_cisco-tetration,cisco:tetration:inventory,inputs.conf
TA_cisco-tetration,cisco:tetration:sensor,inputs.conf
Splunk_TA_cisco-wsa,cisco:wsa:l4tm,props.conf
Splunk_TA_cisco-wsa,cisco:wsa:squid,props.conf
Splunk_TA_cisco-wsa,cisco:wsa*,eventtypes.conf
TA-ClamAV,clamav,transforms.conf
eStreamer,client_check,inputs.conf
TA-CMX,cmxactive,eventtypes.conf
CMX,cmxhttp,savedsearches.conf
CMX,cmxmap,savedsearches.conf
TA-cofenseintelligence,cofense:intelligence,inputs.conf
monitoringwincontainers,collector_license_check,macros.conf
TA-Illumio,collector_sourcetype,props.conf
config_analytics,conf,inputs.conf
extreme_networks_basic,config,transforms.conf
PCI,config_file,props.conf
Splunk_TA_nix,config_file,props.conf
SA-VMNetAppUtils,configuration_check,props.conf
SA-Utils,configuration_check,props.conf
SA-Utils,contentinfo,props.conf
CorelightForSplunk,corelight_conn,eventtypes.conf
TA-CorelightForSplunk,corelight_conn,eventtypes.conf
network_behavior_analytics,corelight_conn,eventtypes.conf
CorelightForSplunk,corelight_corelight_metrics_bro,eventtypes.conf
TA-CorelightForSplunk,corelight_corelight_metrics_bro,eventtypes.conf
CorelightForSplunk,corelight_corelight_metrics_iface,eventtypes.conf
TA-CorelightForSplunk,corelight_corelight_metrics_iface,eventtypes.conf
CorelightForSplunk,corelight_corelight_metrics_system,eventtypes.conf
TA-CorelightForSplunk,corelight_corelight_metrics_system,eventtypes.conf
CorelightForSplunk,corelight_dhcp,eventtypes.conf
TA-CorelightForSplunk,corelight_dhcp,eventtypes.conf
CorelightForSplunk,corelight_dns,eventtypes.conf
TA-CorelightForSplunk,corelight_dns,eventtypes.conf
network_behavior_analytics,corelight_dns,eventtypes.conf
CorelightForSplunk,corelight_files,eventtypes.conf
TA-CorelightForSplunk,corelight_files,eventtypes.conf
CorelightForSplunk,corelight_http,eventtypes.conf
TA-CorelightForSplunk,corelight_http,eventtypes.conf
CorelightForSplunk,corelight_smtp,eventtypes.conf
TA-CorelightForSplunk,corelight_smtp,eventtypes.conf
CorelightForSplunk,corelight_software,eventtypes.conf
TA-CorelightForSplunk,corelight_software,eventtypes.conf
CorelightForSplunk,corelight_ssl,eventtypes.conf
TA-CorelightForSplunk,corelight_ssl,eventtypes.conf
CorelightForSplunk,corelight_weird,eventtypes.conf
TA-CorelightForSplunk,corelight_weird,eventtypes.conf
CorelightForSplunk,corelight_x509,eventtypes.conf
TA-CorelightForSplunk,corelight_x509,eventtypes.conf
SA-ThreatIntelligence,correlationsearches:controller,props.conf
SA-ThreatIntelligence,correlationsearches:migration_rest_handler,props.conf
Corvil,corvil,inputs.conf
TA-Corvil-Addon-SplunkEnterpriseSecurity,corvil,eventtypes.conf
TA-forescout_response,counteract_alerts,eventtypes.conf
engagedthreat,cowrie,eventtypes.conf
cloudpassage,cp_halo,inputs.conf
PeopleSoft,cpu,savedsearches.conf
Splunk_TA_nix,cpu,inputs.conf
maprops,cpu,inputs.conf
splunk_app_for_nix,cpu,macros.conf
SA-VMNetAppUtils,credential_manager_controller,props.conf
SA-Utils,credential_manager_controller,props.conf
encryptdecrypt,credit,inputs.conf
TA-crowdstrike_falcon_intel,crowdstrike:falcon:intelligence,inputs.conf
TA-crowdstrike,crowdstrike:falconhost:ar,eventtypes.conf
TA-crowdstrike,crowdstrike:falconhost:json,eventtypes.conf
TA-crowdstrike,crowdstrike:falconhost:log,props.conf
TA-crowdstrike,crowdstrike:falconhost:query:json,eventtypes.conf
TA-crowdstrike,crowdstrike:ucclib:log,props.conf
TA-crowdstrike,crowdstrike:util:log,props.conf
CryptoniteNXT,Cryptonite:*,eventtypes.conf
config_analytics,css,inputs.conf
config_analytics,csv,inputs.conf
TA-ct-log,ct:log,inputs.conf
PCI,cups_access,props.conf
PCI,cups_error,props.conf
bitcoin,currency,inputs.conf
currency,currency_entry,inputs.conf
SA-ThreatIntelligence,customsearchbuilder:rest_handler,props.conf
Splunk_TA_cyberark,cyberark:epv:cef,eventtypes.conf
Splunk_TA_cyberark,cyberark:pta:cef,eventtypes.conf
TA-cyber-triage,cybertriage,eventtypes.conf
TA-cyber-triage,cybertriage:alert:response,eventtypes.conf
BikeStations,cycle_station_xml,inputs.conf
cymaze_enterprise_splunk_app,cymaze_events,inputs.conf
TA-D3,D3,inputs.conf
TA-D3,D3-2,inputs.conf
dasp,DASP4,inputs.conf
SA-VMNetAppUtils,data_migrator,props.conf
SA-Utils,data_migrator,props.conf
SplunkAdmins,data_sourcetype,savedsearches.conf
security_getting_started,database_audit_xml,inputs.conf
Splunk_SA_CIM,datamodelsimple,props.conf
TA-DB_CyberTech,dbn:dbn6300:audit,transforms.conf
TA-DB_CyberTech,dbn:dbn6300:discoveryEvents,transforms.conf
TA-DB_CyberTech,dbn:dbn6300:healthEvents,transforms.conf
TA-DB_CyberTech,dbn:dbn6300:insiderThreatEvents,transforms.conf
TA-DB_CyberTech,dbn:dbn6300:sqliEvents,transforms.conf
TA-DB_CyberTech,dbn:dbn6300:systemCounters,transforms.conf
TA-DB_CyberTech,dbn:dbn6300:upgrade,transforms.conf
TA-DB_CyberTech,dbn*,eventtypes.conf
splunk_app_db_connect,dbx,props.conf
splunk_app_db_connect,dbx_audit,props.conf
splunk_app_db_connect,dbx_connection_pool_metrics,props.conf
splunk_app_db_connect,dbx_health_metrics,props.conf
splunk_app_db_connect,dbx_job_metrics,props.conf
splunk_app_db_connect,dbx_server,props.conf
splunk_app_db_connect,dbx_server_access,props.conf
homemonitor,dd-wrt,transforms.conf
TA-Datiphy-Policy-Violation-Response,ddna,savedsearches.conf
datiphy,ddna,props.conf
extreme_networks_basic,debug,transforms.conf
TrendMicroDeepSecurity,deepsecurity-antimalware,transforms.conf
TrendMicroDeepSecurity,deepsecurity-app_control,transforms.conf
TrendMicroDeepSecurity,deepsecurity-firewall,transforms.conf
TrendMicroDeepSecurity,deepsecurity-integrity_monitoring,transforms.conf
TrendMicroDeepSecurity,deepsecurity-intrusion_prevention,transforms.conf
TrendMicroDeepSecurity,deepsecurity-log_inspection,transforms.conf
TrendMicroDeepSecurity,deepsecurity-system_events,transforms.conf
TrendMicroDeepSecurity,deepsecurity-web_reputation,transforms.conf
TrendMicroDeepSecurity,deepsecurity*,savedsearches.conf
dsa,dell_ipfix,inputs.conf
TA-DellEMC_VMAX,dellemc:vmax:rest,inputs.conf
TA-Demisto,demistoResponse,eventtypes.conf
demisto,demistoresponse,savedsearches.conf
TA-detectify,detectify:findings,inputs.conf
cylance_protect,device,inputs.conf
Splunk_TA_nix,df,inputs.conf
maprops,df,inputs.conf
splunk_app_for_nix,df,macros.conf
endeca,dgidx,savedsearches.conf
endeca,dgraph_request,savedsearches.conf
endeca,Dgraph_Request,savedsearches.conf
extreme_networks_basic,dhcp_client,transforms.conf
Splunk_TA_nix,dhcpd,props.conf
dhcpd,dhcpd,transforms.conf
Splunk_TA_windows,DhcpSrvLog,inputs.conf
extreme_networks_basic,diagnostics,transforms.conf
TA-digitalguardian,digitalguardian:alerts,eventtypes.conf
DM5AddonforSplunk,dm5_dive_log,inputs.conf
TA-dmarc,dmarc,inputs.conf
TA-dmarc,dmarc:json,transforms.conf
TA-dmarc,dmarc:kv,transforms.conf
PCI,dmesg,props.conf
security_getting_started,dns_named,inputs.conf
Splunk_TA_MSDNS,dns:log:debug,inputs.conf
TA-pihole,dnscrypt:proxy,eventtypes.conf
TA-pihole,dnsmasq,eventtypes.conf
monitoringdocker,docker_events,macros.conf
monitoringdocker,docker_host_logs,macros.conf
monitoringdocker,docker_logs,macros.conf
monitoringdocker,docker_proc_stats,macros.conf
monitoringdocker,docker_stats,macros.conf
extreme_networks_basic,dot1p,transforms.conf
dpod,dpod:alert:syslog,inputs.conf
dpod,dpod:json,inputs.conf
TA-dragon-ips,dragon_ips,eventtypes.conf
DShield,dshield,inputs.conf
TA-dtexubi,dtex_st_activities,macros.conf
TA-dtexubi,dtex_st_alerts,macros.conf
Splunk_TA_Dynatrace,dynatrace:entity,inputs.conf
splunk_app_Dynatrace,dynatrace:entity,savedsearches.conf
Splunk_TA_Dynatrace,dynatrace:metrics,inputs.conf
Splunk_TA_Dynatrace,dynatrace:problem,inputs.conf
splunk_app_Dynatrace,dynatrace:problem,eventtypes.conf
Splunk_TA_Dynatrace,dynatrace:single-metric,inputs.conf
extreme_networks_basic,eaps,transforms.conf
spl_examples,earthquake-csv,props.conf
spl_examples,email,props.conf
EMC-app-Isilon,emc:isilon:rest,savedsearches.conf
TA_EMC-Isilon,emc:isilon:rest,eventtypes.conf
TA_EMC-Isilon,emc:isilon:syslog,inputs.conf
SplunkEnterpriseSecuritySuite,es_deployment_manager,props.conf
SplunkEnterpriseSecuritySuite,es_installer_controller,props.conf
SplunkEnterpriseSecuritySuite,es_investigations_rest_handler,props.conf
SplunkEnterpriseSecuritySuite,esconfighealth,props.conf
DA-ESS-ContentUpdate,escu-contextualize,eventtypes.conf
DA-ESS-ContentUpdate,escu-investigate,eventtypes.conf
netapp_app_eseries_perf,eseries:graph,savedsearches.conf
netapp_app_eseries_perf,eseries:mel-events,savedsearches.conf
netapp_app_eseries_perf,eseries:web-proxy:audit,props.conf
TA-netapp_eseries,eseries:web-proxy:audit,inputs.conf
netapp_app_eseries_perf,eseries:web-proxy:system,props.conf
TA-netapp_eseries,eseries:web-proxy:system,inputs.conf
netapp_app_eseries_perf,eseries:web-proxy:trace,props.conf
TA-netapp_eseries,eseries:web-proxy:trace,inputs.conf
netapp_app_eseries_perf,eseries:web-proxy:webserver,props.conf
TA-netapp_eseries,eseries:web-proxy:webserver,inputs.conf
netapp_app_eseries_perf,eseries:webproxy,savedsearches.conf
Splunk_App_Eset_RA,eset:ra,savedsearches.conf
TA-eset-ra,eset:ra,eventtypes.conf
ESG_Services,ESG_ServicesLogs,inputs.conf
SplunkEnterpriseSecuritySuite,ess_configured_handler,props.conf
SplunkEnterpriseSecuritySuite,ess_content_importer,props.conf
SplunkEnterpriseSecuritySuite,essinstall2,props.conf
eStreamer,eStreamer,inputs.conf
eStreamer,estreamer,macros.conf
eta,eta:pellet:full_load_hours,inputs.conf
eta,eta:pellet:outside_temp,inputs.conf
eta,eta:pellet:pellet_container,inputs.conf
eta,eta:pellet:total_consumption_pellet,inputs.conf
eta,eta:solar:collector_temp,inputs.conf
eta,eta:solar:production_today,inputs.conf
eta,eta:storage:pellet,inputs.conf
cylance_protect,event,inputs.conf
SA-Eventgen,eventgen_errors,props.conf
SA-Eventgen,eventgen_hec_handler,props.conf
SA-Eventgen,eventgen_listener_process,props.conf
SA-Eventgen,eventgen_main,props.conf
SA-Eventgen,eventgen_metrics,props.conf
SA-Eventgen,eventgen_modinput,props.conf
splunk_app_evidentio,evidentio:alerts*,macros.conf
ms_windows_ad_objects,Example_ActiveDirectory_Data,inputs.conf
optiv_TA_threat,exec,eventtypes.conf
SA-VMNetAppUtils,expectedactivity,props.conf
SA-Utils,expectedactivity,props.conf
TA-extrahop_addon,extrahop,eventtypes.conf
extrahop_app,extrahop|,savedsearches.conf
Splunk_TA_f5-bigip,f5_bigip-icontrol-globallb,props.conf
Splunk_TA_f5-bigip,f5_bigip-icontrol-locallb,props.conf
Splunk_TA_f5-bigip,f5_bigip-icontrol-locallb-pool,props.conf
Splunk_TA_f5-bigip,f5_bigip-icontrol-management,props.conf
Splunk_TA_f5-bigip,f5_bigip-icontrol-management-device,props.conf
Splunk_TA_f5-bigip,f5_bigip-icontrol-management-usermanagement,props.conf
Splunk_TA_f5-bigip,f5_bigip-icontrol-networking,props.conf
Splunk_TA_f5-bigip,f5_bigip-icontrol-networking-adminip,props.conf
Splunk_TA_f5-bigip,f5_bigip-icontrol-networking-interfaces,props.conf
Splunk_TA_f5-bigip,f5_bigip-icontrol-system-disk,props.conf
Splunk_TA_f5-bigip,f5_bigip-icontrol-system-statistics,props.conf
Splunk_TA_f5-bigip,f5_bigip-icontrol-system-systeminfo,props.conf
